0.78,0.78,0.82,0.56,0.86,0.78,0.65,0.76,0.69,0.89,0.75,0.75,0.79,0.78,0.43
0.92,0.9,0.84,0.91,0.78,0.85,0.9,0.76,0.83,0.84,0.82,0.79,0.85,0.81,0.67
0.95,0.9,0.91,0.593,0.85,0.88,0.94,0.92,0.86,0.88,0.91,0.93,0.87,0.87,0.93
0.94,0.98,0.92,0.95,0.92,0.92,0.92,0.97,0.97,0.9,0.93,0.97,0.95,0.98,0.92
0.96,0.97,0.97,0.97,0.93,0.97,0.98,0.97,0.97,1,0.94,0.98,0.97,0.95,0.98
0.99,1,1,1,0.99,0.99,1,0.99,0.98,0.99,0.99,0.99,1,0.99,1
