age,1,BMI,1,fast gluc (iv0gavg),1,fast ins (iv0inavg),1,gender,1,hemo a1c,1,si,1
1569969_a_at,0.60977,fast ins (iv0inavg),0.62732,hemo a1c,0.85084,BMI,0.62732,207063_at,0.92458,fast gluc (iv0gavg),0.85084,1569706_at,0.64612
1556095_at,0.57653,244223_at,0.5727,216734_s_at,0.54872,1554849_at,0.60983,201909_at,0.90927,240244_at,0.61184,226668_at,0.61423
1557814_a_at,0.56408,206662_at,0.53181,FH,0.50247,243106_at,0.57347,204409_s_at,0.90708,FH,0.60388,223892_s_at,0.57804
224832_at,0.55096,239150_at,0.52268,1568844_at,0.49735,1554961_at,0.55978,209771_x_at,0.8905,219734_at,0.53204,227595_at,0.5593
1570482_at,0.53933,236960_at,0.51677,239362_at,0.48951,1553459_at,0.5591,204410_at,0.88733,239362_at,0.5313,218195_at,0.55545
237398_at,0.53229,212565_at,0.50656,234638_at,0.48315,227858_at,0.55593,228492_at,0.87608,241332_at,0.52812,202960_s_at,0.54525
244178_at,0.52682,224919_at,0.50644,202832_at,0.47589,234646_at,0.55282,205000_at,0.86144,215733_x_at,0.52604,204666_s_at,0.54443
230048_at,0.52518,228688_at,0.50366,219734_at,0.47182,207144_s_at,0.54755,230760_at,0.85787,233648_at,0.509,212568_s_at,0.54093
236703_at,0.52412,233032_x_at,0.49977,40665_at,0.46422,212939_at,0.54727,216379_x_at,0.85282,1569077_x_at,0.49038,1555613_a_at,0.5351
234946_at,0.5214,233829_at,0.49376,211694_at,0.46376,229052_at,0.54707,1560395_at,0.8519,1553829_at,0.48877,218102_at,0.52916
230130_at,0.51835,217520_x_at,0.49268,fast ins (iv0inavg),0.46192,211053_at,0.5409,206700_s_at,0.85016,222568_at,0.48429,227012_at,0.52838
241637_at,0.51514,207219_at,0.49025,1570005_at,0.45917,229934_at,0.5347,266_s_at,0.84806,238127_at,0.4827,222845_x_at,0.52648
228850_s_at,0.51289,203588_s_at,0.48768,229800_at,0.45745,230950_at,0.53178,214131_at,0.82673,207914_x_at,0.47986,230492_s_at,0.52421
1562821_a_at,0.51045,225192_at,0.48399,1553053_at,0.45741,200650_s_at,0.52887,205001_s_at,0.82397,237558_at,0.47491,217956_s_at,0.52151
219737_s_at,0.50454,235820_at,0.48205,234976_x_at,0.45614,228117_at,0.52376,206624_at,0.81645,202284_s_at,0.47403,229480_at,0.52066
238919_at,0.50178,226208_at,0.4807,243821_at,0.45255,219509_at,0.51406,232618_at,0.81015,231545_at,0.46638,212779_at,0.52062
213845_at,0.49562,1563225_a_at,0.47942,218769_s_at,0.44487,244708_at,0.51397,244482_at,0.80967,207384_at,0.46467,217848_s_at,0.51501
1560391_at,0.49501,211554_s_at,0.47587,1553829_at,0.44334,208606_s_at,0.51347,208651_x_at,0.77122,202149_at,0.46116,1556306_at,0.51474
1553452_at,0.49153,234747_at,0.46712,208278_s_at,0.43893,236848_s_at,0.51227,211149_at,0.76822,203725_at,0.45632,217869_at,0.51154
222618_at,0.49016,220703_at,0.46512,219578_s_at,0.43855,1563225_a_at,0.50848,236694_at,0.74133,206399_x_at,0.45606,221550_at,0.50818
219250_s_at,0.48915,231549_at,0.46306,229856_s_at,0.43831,212654_at,0.50322,223646_s_at,0.73175,240137_at,0.45511,214691_x_at,0.50816
234138_at,0.48756,1561347_a_at,0.46291,229286_at,0.43267,1557218_s_at,0.50316,223645_s_at,0.66961,225305_at,0.4539,223486_at,0.50807
202146_at,0.48584,225609_at,0.46206,211010_s_at,0.43208,205954_at,0.50291,201522_x_at,0.61733,1564621_a_at,0.45081,228115_at,0.50794
239972_at,0.48488,213403_at,0.46137,216165_at,0.43138,1556092_s_at,0.50248,203043_at,0.61627,207016_s_at,0.44896,223515_s_at,0.50734
216263_s_at,0.48483,231799_at,0.4604,240244_at,0.43015,219942_at,0.50082,207246_at,0.60792,234976_x_at,0.44884,1560547_at,0.50658
235443_at,0.48309,1559284_at,0.45973,207384_at,0.42769,205577_at,0.50022,236289_at,0.60645,1566805_at,0.44836,202362_at,0.50453
239530_at,0.47916,222939_s_at,0.45707,231748_at,0.42475,216337_at,0.49928,230577_at,0.59886,211674_x_at,0.44506,218538_s_at,0.50399
235945_at,0.47668,241160_at,0.45443,208129_x_at,0.42409,209621_s_at,0.49917,1560800_at,0.58536,1552731_at,0.44277,232071_at,0.50307
214925_s_at,0.47544,244018_at,0.45116,217746_s_at,0.42165,203644_s_at,0.4983,222400_s_at,0.58389,1568844_at,0.43824,203925_at,0.50288
218130_at,0.47454,237299_at,0.44954,216180_s_at,0.42137,235755_at,0.49615,204249_s_at,0.57113,224293_at,0.43809,201656_at,0.50124
1563468_at,0.47443,240753_at,0.44915,214154_s_at,0.42005,208435_s_at,0.49462,208650_s_at,0.54658,1570482_at,0.4323,235423_at,0.49996
1552343_s_at,0.47274,230950_at,0.4483,210421_s_at,0.41761,224919_at,0.49232,229638_at,0.53504,223472_at,0.43152,236072_at,0.49945
231882_at,0.46894,220195_at,0.4471,239669_at,0.41495,208087_s_at,0.49157,241834_at,0.5248,227067_x_at,0.43132,217595_at,0.49639
244502_at,0.46835,239915_at,0.44661,204191_at,0.41408,211062_s_at,0.48717,1561431_at,0.52423,230955_s_at,0.43111,208745_at,0.49554
236243_at,0.4676,1557533_at,0.44486,231545_at,0.41305,207609_s_at,0.48693,226470_at,0.52416,224999_at,0.43071,211953_s_at,0.49327
207382_at,0.46575,207301_at,0.44472,241332_at,0.4106,221181_at,0.48156,208079_s_at,0.5197,200650_s_at,0.43055,202915_s_at,0.49175
223414_s_at,0.46527,1562558_at,0.44285,217669_s_at,0.40882,232984_at,0.48032,203498_at,0.50853,1563772_a_at,0.42821,224705_s_at,0.48808
205372_at,0.46412,236848_s_at,0.44271,229148_at,0.40678,216854_at,0.47884,230680_at,0.50818,218781_at,0.4273,238020_at,0.48692
204361_s_at,0.46394,220054_at,0.44189,1564244_a_at,0.40641,216632_at,0.47606,230636_s_at,0.50794,216734_s_at,0.42609,212504_at,0.48389
1560213_at,0.462,231645_s_at,0.43958,AFFX-r2-Bs-thr-5_s_at,0.40596,1553829_at,0.47587,235628_x_at,0.50775,fast ins (iv0inavg),0.42604,223007_s_at,0.48217
1566987_s_at,0.46191,1559665_at,0.43838,226939_at,0.40565,216827_at,0.4758,239858_at,0.50469,219153_s_at,0.42463,211792_s_at,0.48181
206785_s_at,0.46066,235184_at,0.43679,238127_at,0.40509,239224_at,0.47579,228684_at,0.50211,1553347_s_at,0.42383,1553625_at,0.48116
239383_at,0.4605,211209_x_at,0.43649,219152_at,0.4047,201191_at,0.47546,230161_at,0.49911,216165_at,0.42273,201836_s_at,0.48044
1556823_s_at,0.46049,1552570_at,0.4364,210806_at,0.40427,202723_s_at,0.47461,212224_at,0.49458,208129_x_at,0.42063,228770_at,0.47936
207127_s_at,0.46005,226651_at,0.43632,201402_at,0.40313,234664_at,0.47356,204092_s_at,0.49289,236352_at,0.4202,211343_s_at,0.47776
220728_at,0.45967,241558_at,0.43552,237558_at,0.40291,214625_s_at,0.47099,221974_at,0.49155,213568_at,0.41955,236644_at,0.47684
216889_s_at,0.45826,235456_at,0.43547,212888_at,0.40265,202787_s_at,0.47015,205073_at,0.48902,205058_at,0.4186,232156_at,0.47679
211931_s_at,0.45823,212264_s_at,0.43451,231646_at,0.40042,231299_at,0.46945,1567611_at,0.48869,230503_at,0.41819,217540_at,0.47423
208111_at,0.45678,1554156_a_at,0.43437,1559275_x_at,0.39968,217436_x_at,0.46873,223411_at,0.48825,208278_s_at,0.41762,32723_at,0.47332
1559713_at,0.45149,1564627_at,0.43412,223472_at,0.39888,206296_x_at,0.46759,230604_at,0.48811,212518_at,0.41663,225326_at,0.47114
212583_at,0.45049,1564300_at,0.4341,201636_at,0.39883,241934_at,0.46714,236615_at,0.48665,1553832_at,0.41379,1558511_s_at,0.47079
1553633_s_at,0.45016,212150_at,0.43323,221293_s_at,0.39842,244501_at,0.46689,204173_at,0.48586,1552732_at,0.41315,226381_at,0.47019
225416_at,0.45002,214057_at,0.43293,65718_at,0.39794,1570397_x_at,0.46678,234862_at,0.48367,220508_at,0.41167,203594_at,0.46983
1555485_s_at,0.44987,1566695_at,0.43177,234215_at,0.39781,211560_s_at,0.46656,243730_at,0.48111,221081_s_at,0.41148,213129_s_at,0.46965
1557652_a_at,0.44977,244466_at,0.4313,228169_s_at,0.39683,208554_at,0.46622,201029_s_at,0.475,227927_at,0.4101,204461_x_at,0.46903
33322_i_at,0.44973,209218_at,0.43053,214391_x_at,0.396,240024_at,0.46522,1560686_at,0.47374,1561361_at,0.40942,203299_s_at,0.4687
235734_at,0.44889,221301_at,0.43013,238877_at,0.39566,205081_at,0.46381,243661_at,0.47281,1557063_at,0.40843,218605_at,0.46848
225189_s_at,0.44845,239681_at,0.42994,1569660_at,0.39469,202588_at,0.4636,218510_x_at,0.47234,205858_at,0.4071,218674_at,0.46739
227300_at,0.44807,232388_at,0.42814,231276_at,0.3946,243723_at,0.46301,216351_x_at,0.47156,206890_at,0.40638,203095_at,0.46677
