age,1,BMI,1,fast gluc (iv0gavg),1,fast ins (iv0inavg),1,fast ins (iv0inavg),1,gender,1,hemo a1c,1,si,1
1569969_a_at,0.60977,fast ins (iv0inavg),0.62732,hemo a1c,0.85084,BMI,0.62732,BMI,0.62732,207063_at,0.92458,fast gluc (iv0gavg),0.85084,1569706_at,0.64612
1556095_at,0.57653,244223_at,0.5727,216734_s_at,0.54872,1554849_at,0.60983,1554849_at,0.60983,201909_at,0.90927,240244_at,0.61184,226668_at,0.61423
1557814_a_at,0.56408,206662_at,0.53181,FH,0.50247,243106_at,0.57347,243106_at,0.57347,204409_s_at,0.90708,FH,0.60388,223892_s_at,0.57804
224832_at,0.55096,239150_at,0.52268,1568844_at,0.49735,1554961_at,0.55978,1554961_at,0.55978,209771_x_at,0.8905,219734_at,0.53204,227595_at,0.5593
1570482_at,0.53933,236960_at,0.51677,239362_at,0.48951,1553459_at,0.5591,1553459_at,0.5591,204410_at,0.88733,239362_at,0.5313,218195_at,0.55545
237398_at,0.53229,212565_at,0.50656,234638_at,0.48315,227858_at,0.55593,227858_at,0.55593,228492_at,0.87608,241332_at,0.52812,202960_s_at,0.54525
244178_at,0.52682,224919_at,0.50644,202832_at,0.47589,234646_at,0.55282,234646_at,0.55282,205000_at,0.86144,215733_x_at,0.52604,204666_s_at,0.54443
230048_at,0.52518,228688_at,0.50366,219734_at,0.47182,207144_s_at,0.54755,207144_s_at,0.54755,230760_at,0.85787,233648_at,0.509,212568_s_at,0.54093
236703_at,0.52412,233032_x_at,0.49977,40665_at,0.46422,212939_at,0.54727,212939_at,0.54727,216379_x_at,0.85282,1569077_x_at,0.49038,1555613_a_at,0.5351
234946_at,0.5214,233829_at,0.49376,211694_at,0.46376,229052_at,0.54707,229052_at,0.54707,1560395_at,0.8519,1553829_at,0.48877,218102_at,0.52916
230130_at,0.51835,217520_x_at,0.49268,fast ins (iv0inavg),0.46192,211053_at,0.5409,211053_at,0.5409,206700_s_at,0.85016,222568_at,0.48429,227012_at,0.52838
241637_at,0.51514,207219_at,0.49025,1570005_at,0.45917,229934_at,0.5347,229934_at,0.5347,266_s_at,0.84806,238127_at,0.4827,222845_x_at,0.52648
228850_s_at,0.51289,203588_s_at,0.48768,229800_at,0.45745,230950_at,0.53178,230950_at,0.53178,214131_at,0.82673,207914_x_at,0.47986,230492_s_at,0.52421
1562821_a_at,0.51045,225192_at,0.48399,1553053_at,0.45741,200650_s_at,0.52887,200650_s_at,0.52887,205001_s_at,0.82397,237558_at,0.47491,217956_s_at,0.52151
